Author,Title,Pages,Publisher,Language,ISBN-13,Genre 1,Genre 2,Genre 3,Review
Aldous Leonard Huxley,Admirável mundo novo,312,Globo de Bolso,PT-BR,9788525057358,Fiction,Science fiction,Dystopian,5
Arthur Ignatius Conan Doyle,O cão dos Baskerville,224,Zahar,PT-BR,9788537802755,Fiction,Thriller,Detective,2
Arthur Ignatius Conan Doyle,As aventuras de Sherlock Holmes,384,Zahar,PT-BR,9788537812808,Fiction,Thriller,Detective,4
Chad Orzel,How to teach Quantum Physycs to your dog,241,Oneworld Publications,EN,9781416579014,Non-fiction,Creative,Scientific,2
Clinton Richard Dawkins,The God delusion,463,Black Swan,EN,9780552774291,Non-fiction,Critique,Religion,5
Dois Santos dos Santos,Manual de anti-ajuda,100,Nova Roma,PT-BR,9788560859023,Fiction,Poetry,,3
Edgar Allan Poe,Histórias extraodinárias,135,Saraiva,PT-BR,9788520927205,Fiction,Horror,Mistery,4
Howard Phillips Lovecraft,O chamado de Cthulu e outros contos,160,Hedra,PT-BR,9788577151165,Fiction,Horror,Lovecraftian,4
Howard Phillips Lovecraft,Um sussuro nas trevas,147,Hedra,PT-BR,9788577152087,Fiction,Horror,Lovecraftian,4
Howard Phillips Lovecraft,A cor que caiu do espaço,104,Hedra,PT-BR,9788577152438,Fiction,Horror,Lovecraftian,3
Howard Phillips Lovecraft,A sombra de Innsmouth,136,Hedra,PT-BR,9788577151875,Fiction,Horror,Lovecraftian,3
Isaak Yudavich Azimov,"Eu, robô",320,Aleph,PT-BR,9788576572008,Fiction,Fantastique,Romance,4
Jean-Paul Charles Aymard Sartre,O muro,208,Nova Fronteira,PT-BR,9788520941331,Fiction,Critique,Political philosohpy,4
Johannes Hessen,Teoria do conhecimento,177,Martins Fontes,PT-BR,9788533619098,Non-fiction,Textbook,Philosophy,4
Leonardo Da Vinci,"Sátiras, fábulas, aforimos e profecias",128,Hedra,PT-BR,9788577150861,Non-fiction,Essay,,4
Mary Wollstonecraft Shelley,Frankenstein,272,Hedra,PT-BR,9788577153145,Fiction,Horror,Gothic,5
Niccolò di Bernardo dei Machiavelli,O príncipe,174,Martin Claret,PT-BR,9788572328555,Non-fiction,Treatise,Political philosophy,5
"Sérgio Cappareli, Márcia Schmaltz",Fábulas chinesas,64,L&PM,PT-BR,9788525426185,Fiction,Folklore,Fable,3
William Thomas Harris III,"Hannibal, a origem do mal",256,BestBolso,PT-BR,9788577994519,Fiction,Horror,Suspense,5