Day,Description,Rate
8766,I have become 24 years old.,3
8767,Resting and setting up musaeum.,1
8768,Resting and setting up musaeum.,1
8769,First day at work.,2
8770,I get my training schedule with a friend.,2
8771,"I trained and worked, it is hard to couple stuff.",3
8772,I died while working out.,3
8773,"No work out, fixed a lot of stuff at home.",1
8774,Programmed the whole day. No work out.,3
8775,"Bought some plants, fixed stuff on Master's",2
8776,Only worked.,2
8777,Only worked.,2
8778,"Only worked, cleaned the house.",3
8779,"Only worked, finished my tasks.",2
8780,"Only worked, finished lot of stuff.",1
8781,"Started streaming, setting up musaeum.",3